"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"47"	"1.688.seq47.count:3"	8.12	3	1059	1e-05	0.08	2.18	0.0266666666666667	0.036697247706422
"55"	"1.688.seq55.count:3"	8.39	3	939	1e-05	0.08	0.45	0.0266666666666667	0.177777777777778
"108"	"1.688.seq108.count:2"	8.22	2	706	1e-05	0.08	0.6	0.04	0.133333333333333
"123"	"1.688.seq123.count:2"	8.73	2	706	1e-05	0.08	0.32	0.04	0.25
"186"	"1.688.seq186.count:1"	8	1	306	1e-05	0.08	0.8	0.08	0.1
"187"	"1.688.seq187.count:1"	8	1	360	1e-05	0.08	0.21	0.08	0.380952380952381
"205"	"1.688.seq205.count:1"	8.77	1	356	1e-05	0.08	0.3	0.08	0.266666666666667
"283"	"1.688.seq283.count:1"	8	1	365	1e-05	0.08	0.09	0.08	0.888888888888889
"356"	"1.688.seq356.count:1"	8	1	357	1e-05	0.08	0.12	0.08	0.666666666666667
"358"	"1.688.seq358.count:1"	8	1	301	1e-05	0.08	0.28	0.08	0.285714285714286
"373"	"1.688.seq373.count:1"	8.63	1	359	1e-05	0.08	0.14	0.08	0.571428571428571
"383"	"1.688.seq383.count:1"	8.44	1	357	1e-05	0.08	0.39	0.08	0.205128205128205
"408"	"1.688.seq408.count:1"	8.74	1	312	1e-05	0.08	0.08	0.08	1
"494"	"1.688.seq494.count:1"	8	1	351	1e-05	0.08	0.98	0.08	0.0816326530612245
"522"	"1.688.seq522.count:1"	8.83	1	354	1e-05	0.08	0.24	0.08	0.333333333333333
"582"	"1.688.seq582.count:1"	8	1	358	1e-05	0.08	0.03	0.08	2.66666666666667
"597"	"1.688.seq597.count:1"	8	1	361	1e-05	0.08	0.22	0.08	0.363636363636364
"624"	"1.688.seq624.count:1"	8.35	1	358	1e-05	0.08	0.73	0.08	0.10958904109589
"633"	"1.688.seq633.count:1"	8	1	358	1e-05	0.08	0.73	0.08	0.10958904109589
